Address,Opcode,Category,isBranch,isControlFlow,isMemoryRead,isMemoryWrite,isCall,Read_Regsiters,Write_Registers
4240978,ADD,BINARY,0,0,1,0,0,R[7 10 16],W[7 25]
4240982,MOVSXD,DATAXFER,0,0,0,0,0,R[7],W[10]
4240985,MOV,DATAXFER,0,0,1,0,0,R[8 10],W[10]
4240988,CMP,BINARY,0,0,1,0,0,R[6 10],W[25]
4240992,MOV,DATAXFER,0,0,1,0,0,R[6],W[8]
4240997,JL,COND_BR,1,1,0,0,0,R[26 25],W[26]
4240999,MOV,DATAXFER,0,0,1,0,0,R[26],W[4]
4241006,MOVSXD,DATAXFER,0,0,0,0,0,R[10],W[9]
4241009,LEA,MISC,0,0,0,0,0,R[9],W[8]
4241017,MOV,DATAXFER,0,0,1,0,0,R[4 9],W[9]
4241020,TEST,LOGICAL,0,0,0,0,0,R[9 9],W[25]
4241022,JS,COND_BR,1,1,0,0,0,R[26 25],W[26]
4241028,MOV,DATAXFER,0,0,1,0,0,R[17],W[10]
4241032,MOV,DATAXFER,0,0,1,0,0,R[6],W[4]
4241036,ADD,BINARY,0,0,0,0,0,R[8 10],W[8 25]
4241039,MOV,DATAXFER,0,0,1,0,0,R[8],W[9]
4241041,MOV,DATAXFER,0,0,0,1,0,R[10 16 9],W[]
4241045,MOV,DATAXFER,0,0,0,1,0,R[8 4],W[]
4241047,JMP,UNCOND_BR,1,1,0,0,0,R[26],W[26]
4239928,LEA,MISC,0,0,0,0,0,R[7 17],W[11]
4239932,MOV,DATAXFER,0,0,0,0,0,R[7],W[9]
4239935,MOV,DATAXFER,0,0,0,0,0,R[16],W[8]
4239938,XOR,LOGICAL,0,0,0,0,0,R[10 10],W[10 25]
4239940,MOV,DATAXFER,0,0,0,0,0,R[5],W[4]
4239942,MOV,DATAXFER,0,0,0,0,0,R[15],W[3]
4239945,ADD,BINARY,0,0,0,0,0,R[7 18],W[7 25]
4239948,SUB,BINARY,0,0,0,0,0,R[17],W[17 25]
4239952,ADD,BINARY,0,0,0,0,0,R[16],W[16 25]
4239956,CALL_NEAR,CALL,0,1,0,1,1,R[26 6],W[26 6]
4239168,MOV,DATAXFER,0,0,1,0,0,R[26],W[8]
4239175,MOV,DATAXFER,0,0,1,0,0,R[26],W[10]
4239182,MOV,DATAXFER,0,0,0,0,0,R[7],W[3]
4239184,MOVSXD,DATAXFER,0,0,1,0,0,R[8 17],W[4]
4239188,MOVSXD,DATAXFER,0,0,1,0,0,R[8 17],W[8]
4239193,LEA,MISC,0,0,0,0,0,R[10 4],W[11]
4239197,LEA,MISC,0,0,0,0,0,R[10 8],W[9]
4239201,MOV,DATAXFER,0,0,0,0,0,R[18],W[8]
